Resistance ,"Grid currents _A,B,C phases",,,"Rotor currents A,B,C phases",,,"Stator currents A,B,C phases",,,"Grid voltages A,B,C phases",,,Grid Powers,,Rotor Powers,,Stator Powers,,Class.
R,i25a,i25b,i25c,ira,irb,irc,isa,isb,isc,v25a,v25b,v25c,pg,qg,pr,qr,ps,qs,Target
2.5,5.1569,9.1361,6.5874,0.0032,0.0031,0.0033,0.0035,0.0034,0.0039,842.5337,909.2812,1.03E+04,8.49E+03,7.61E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
3,5.1569,9.1408,5.9108,0.0032,0.003,0.0033,0.0035,0.0034,0.0038,842.5337,804.6548,1.01E+04,8.21E+03,6.19E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
3.5,5.1569,9.1447,5.3405,0.0032,0.003,0.0033,0.0035,0.0034,0.0037,842.5337,719.3196,9.93E+03,7.79E+03,5.09E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
4,5.1569,9.1473,4.8242,0.0032,0.003,0.0033,0.0035,0.0034,0.0036,842.5337,667.7393,9.76E+03,7.33E+03,4.22E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
4.5,5.1569,9.1484,4.4022,0.0032,0.003,0.0033,0.0035,0.0034,0.0035,842.5337,667.7393,9.59E+03,6.86E+03,3.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
5,5.1569,9.1477,4.0367,0.0032,0.003,0.0033,0.0035,0.0034,0.0035,842.5337,667.7393,9.42E+03,6.43E+03,3.01E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
5.5,5.1569,9.1452,3.7282,0.0032,0.003,0.0033,0.0035,0.0034,0.0034,842.5337,667.7393,9.26E+03,6.03E+03,2.59E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
6,5.1569,9.1406,3.4589,0.0032,0.003,0.0033,0.0035,0.0034,0.0033,842.5337,667.7393,9.11E+03,5.66E+03,2.24E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
6.5,5.1569,9.1341,3.2292,0.0032,0.003,0.0033,0.0035,0.0034,0.0033,842.5337,667.7393,8.96E+03,5.33E+03,1.96E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
7,5.1569,9.1254,3.0426,0.0032,0.003,0.0033,0.0035,0.0034,0.0032,842.5337,667.7393,8.81E+03,5.03E+03,1.73E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
7.5,5.1569,9.1146,2.8486,0.0032,0.003,0.0033,0.0035,0.0034,0.0032,842.5337,667.7393,8.67E+03,4.76E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
8,5.1569,9.1017,2.6893,0.0032,0.003,0.0033,0.0035,0.0034,0.0031,842.5337,667.7393,8.53E+03,4.51E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
8.5,5.1569,9.0868,2.5331,0.0032,0.003,0.0033,0.0035,0.0034,0.003,842.5337,667.7393,8.39E+03,4.29E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
9,5.1569,9.07,2.3902,0.0032,0.003,0.0033,0.0035,0.0034,0.003,842.5337,667.7393,8.26E+03,4.08E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
9.5,5.1569,9.0512,2.292,0.0032,0.003,0.0033,0.0035,0.0034,0.0029,842.5337,667.7393,8.13E+03,3.90E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
10,5.1569,9.0305,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0029,842.5337,667.7393,8.01E+03,3.72E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
15,5.1569,8.7415,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,6.94E+03,2.56E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
20,5.1569,8.3587,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,6.10E+03,1.94E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
25,5.1569,7.9857,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,5.45E+03,1.56E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
30,5.1569,7.8836,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,4.92E+03,1.30E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
35,5.1569,7.7529,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,4.48E+03,1.12E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
40,5.1569,7.5997,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,4.11E+03,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
45,5.1569,7.4308,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,3.80E+03,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
50,5.1569,7.2518,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,3.53E+03,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
55,5.1569,7.0677,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,3.30E+03,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
60,5.1569,6.8819,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,3.10E+03,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
65,5.1569,6.697,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,2.92E+03,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
70,5.1569,6.5256,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,2.76E+03,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
75,5.1569,6.4097,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,2.62E+03,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
80,5.1569,6.2935,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,2.49E+03,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
85,5.1569,6.1775,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,2.37E+03,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
90,5.1569,6.0624,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,2.27E+03,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
95,5.1569,5.9485,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,2.17E+03,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
100,5.1569,5.8362,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,2.08E+03,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
110,5.1569,5.6176,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,1.92E+03,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
120,5.1569,5.4081,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,1.79E+03,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
130,5.1569,5.2084,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,1.67E+03,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
140,5.1569,5.0188,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,1.57E+03,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
150,5.1569,4.8391,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,1.48E+03,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
160,5.1569,4.6692,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,1.40E+03,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
170,5.1569,4.5086,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,1.33E+03,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
180,5.1569,4.3568,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,1.28E+03,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
190,5.1569,4.2133,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,1.23E+03,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
200,5.1569,4.0849,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,1.19E+03,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
210,5.1569,3.9745,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,1.15E+03,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
220,5.1569,3.8689,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,1.11E+03,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
230,5.1569,3.7679,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,1.08E+03,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
240,5.1569,3.6714,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,1.05E+03,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
250,5.1569,3.579,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,1.02E+03,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
260,5.1569,3.4906,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,987.1033,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
270,5.1569,3.4059,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,959.8876,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
280,5.1569,3.3248,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,934.1855,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
290,5.1569,3.247,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,909.8781,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
300,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,886.8581,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
310,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,865.0283,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
320,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,844.3011,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
330,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,824.5967,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
340,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,805.8427,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
350,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,787.9733,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
360,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,770.9284,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
370,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,754.6531,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
380,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,739.0972,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
390,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,724.2147,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
400,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,709.9634,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
410,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,696.3044,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
420,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,683.202,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
430,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,670.6232,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
440,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,658.5375,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
450,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,646.9169,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
460,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,635.7351,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
470,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,624.9681,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
480,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,614.5933,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
490,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,604.5899,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
500,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,594.9384,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
510,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,585.6208,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
520,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,576.62,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
530,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,567.9203,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
540,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,559.507,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
550,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,551.3662,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
560,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,543.485,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
570,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,535.8512,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
580,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,528.4534,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
590,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,521.2809,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
600,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,514.3235,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
610,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,507.5719,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
620,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,501.017,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
630,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,494.6504,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
640,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,488.4642,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
650,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,482.4508,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
660,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,476.6031,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
670,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,470.9144,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
680,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,465.3782,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
690,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,459.9887,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
700,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,454.7399,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
710,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,449.6266,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
720,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,444.6436,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
730,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,439.7859,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
740,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,435.0488,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
750,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,430.4281,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
760,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,425.9194,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
770,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,421.5187,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
780,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,417.2223,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
790,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,413.0264,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
800,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,408.9276,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
810,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,404.9225,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
820,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,401.008,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
830,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,397.1811,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
840,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,393.4388,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
850,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,389.7784,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
860,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,386.1973,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
870,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,382.6928,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
880,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,379.2626,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
890,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,375.9043,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
900,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,372.6157,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
910,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,369.3946,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
920,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,366.2391,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
930,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,363.147,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
940,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,360.1166,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
950,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,357.146,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
960,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,354.2334,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
970,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,351.3773,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
980,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,348.5758,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
990,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,345.8276,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
1000,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,343.131,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,3
0.01,10.3293,3.2233,9.7305,0.0048,0.0042,0.0041,0.0035,0.0034,0.0036,1.36E+03,667.7393,1.08E+04,1.04E+03,1.65E+04,4.85E-05,5.04E-05,1.35E-04,1.42E-04,4
0.02,10.3337,3.2233,9.7297,0.0047,0.0042,0.004,0.0035,0.0034,0.0036,1.35E+03,667.7393,1.08E+04,1.04E+03,1.65E+04,4.85E-05,5.04E-05,1.35E-04,1.42E-04,4
0.04,10.3632,3.2233,9.7205,0.0047,0.0042,0.004,0.0035,0.0034,0.0036,1.35E+03,667.7393,1.08E+04,1.04E+03,1.65E+04,4.85E-05,5.04E-05,1.35E-04,1.42E-04,4
0.06,10.3592,3.2233,9.7115,0.0047,0.0042,0.004,0.0035,0.0034,0.0036,1.37E+03,667.7393,1.08E+04,1.17E+03,1.65E+04,4.85E-05,5.04E-05,1.35E-04,1.42E-04,4
0.08,10.3829,3.2233,9.7042,0.0046,0.0041,0.0039,0.0035,0.0034,0.0036,1.38E+03,667.7393,1.08E+04,1.32E+03,1.65E+04,4.85E-05,5.04E-05,1.35E-04,1.42E-04,4
0.1,10.3847,3.2233,9.7047,0.0046,0.0041,0.0039,0.0035,0.0034,0.0036,1.38E+03,667.7393,1.08E+04,1.48E+03,1.65E+04,4.85E-05,5.04E-05,1.35E-04,1.42E-04,4
